Kanji,Kana,Romaji,Type,Meaning,Tone,Example Sentence,Example Translation
合う,あう,au,动词(自),合适;一致,1,この靴はサイズが合わない。,这双鞋尺寸不合。
似合う,にあう,niau,动词(自),适合;相称,2,その服、よく似合っているよ。,那件衣服很适合你哦。
間に合う,まにあう,maniau,动词(自),赶得上;来得及,3,今ならまだ終電に間に合う。,现在的话还赶得上末班车。
見合う,みあう,miau,动词(自),相称;平衡,2,収入に見合う生活をする。,过着与收入相称的生活。
向かう,むかう,mukau,动词(自),面向;前往,0,今、駅に向かっています。,现在正往车站走。
支払う,しはらう,shiharau,动词(他),支付;付款,3,料金をカードで支払う。,用信用卡支付费用。
会う,あう,au,动词(自),见面;遇到,1,久しぶりに友達に会う。,久违地和朋友见面。
味わう,あじわう,ajiwau,动词(他),品尝;体验,3,本場の料理を味わう。,品尝地道的料理。
扱う,あつかう,atsukau,动词(他),对待;处理;操作,3,壊れ物を丁寧に扱う。,小心处理易碎物品。
誘う,さそう,sasou,动词(他),邀请;诱导,0,友達を映画に誘う。,邀请朋友看电影。
従う,したがう,shitagau,动词(自),服从;跟随;按照,0,規則に従って行動する。,按照规则行动。
伴う,ともなう,tomonau,动词(自/他),伴随;随着,3,危険を伴う作業。,伴随危险的工作。
縫う,ぬう,nuu,动词(他),缝纫;缝补,1,破れたところを縫う。,缝补破了的地方。
酔う,よう,you,动词(自),醉;晕(车、船),0,お酒を飲みすぎて酔った。,酒喝多了醉了。
奪う,うばう,ubau,动词(他),夺取;抢夺,2,命を奪うような事故。,夺取性命般的事故。
覆う,おおう,oou,动词(他),覆盖;遮盖,0,山が雪で覆われている。,山被雪覆盖着。
狂う,くるう,kuruu,动词(自),发狂;失灵;出乱子,2,予定が狂ってしまった。,计划被打乱了。
誓う,ちかう,chikau,动词(他),发誓;宣誓,2,心に固く誓う。,在心里暗暗发誓。
揃う,そろう,sorou,动词(自),到齐;齐全;成双,2,家族全員が揃って食事をする。,全家人聚齐吃饭。
戦う,たたかう,tatakau,动词(自),战斗;比赛;斗争,0,病気と戦っている。,正在与病魔斗争。
叩く,たたく,tataku,动词(他),拍打;敲,2,隣の人の肩を叩く。,拍拍旁边人的肩膀。
畳む,たたむ,tatamu,动词(他),折叠;关闭(店铺),0,洗濯物を畳む。,叠衣服。
微笑む,ほほえむ,hohoemu,动词(自),微笑,3,赤ちゃんが微笑んでいる。,婴儿在微笑。
刻む,きざむ,kizamu,动词(他),切碎;雕刻;铭记,0,野菜を細かく刻む。,把蔬菜切得很碎。
挟む,はさむ,hasamu,动词(他),夹;隔;插入,2,パンにハムを挟む。,在面包里夹火腿。
慎む,つつしむ,tsutsushimu,动词(他),慎重;节制,3,言葉を慎みなさい。,说话请慎重。
払い込む,はらいこむ,haraikomu,动词(他),缴纳;交款,4,銀行で税金を払い込む。,在银行缴纳税金。
飛び込む,とびこむ,tobikomu,动词(自),跳入;飞入,3,池に飛び込む。,跳进池塘。
煮込む,にこむ,nikomu,动词(他),炖;熬,2,弱火でじっくり煮込む。,用小火慢慢炖。
組み込む,くみこむ,kumikomu,动词(他),编入;列入,3,予算に組み込む。,列入预算。
突っ込む,つっこむ,tsukkomu,动词(他/自),闯入;插进;深入钻研,3,ポケットに手を突っ込む。,把手插进兜里。
引っ込む,ひっこむ,hikkomu,动词(自),退居;缩进;凹进,0,奥の部屋へ引っ込む。,退到里面的房间里去。
読み込む,よみこむ,yomikomu,动词(他),读入;反复读,3,データを読み込む。,读入数据。
頼み込む,たのみこむ,tanomikomu,动词(他),恳求;再三请求,4,無理を言って頼み込む。,说些过分的要求恳求别人。
冷え込む,ひえこむ,hiekomu,动词(自),剧冷;突然变冷,0,今夜は冷え込みそうだ。,今晚好像要剧烈降温。
飲み込む,のみこむ,nomikomu,动词(他),咽下;领会,0,薬を水で飲み込む。,用水服下药片。
思い込む,おもいこむ,omoikomu,动词(自),深信;固执地认为,4,彼が犯人だと思い込む。,深信他就是犯人。
書き込む,かきこむ,kakikomu,动词(他),填入;写进,3,ノートに予定を書き込む。,在笔记本上写下计划。
持ち込む,もちこむ,mochikomu,动词(他),带入;提出(议案),0,飲食物を持ち込まないでください。,请勿携带食物进入。
申し込む,もうしこむ,moushikomu,动词(他),申请;提议,4,結婚を申し込む。,求婚。
あちこち,あちこち,achikochi,副词,到处;处处,2,あちこち探して見つけた。,到处寻找终于找到了。
そわそわ,そわそわ,sowasowa,副词/自动词,坐立不安;心神不定,1,発表前でそわそわしている。,发表前感到坐立不安。
のろのろ,のろのろ,noronoro,副词/自动词,迟缓;慢吞吞地,1,渋滞で車がのろのろ進む。,因为堵车，车行进得慢吞吞的。
ふらふら,ふらふら,furafura,副词/自动词,摇晃;头晕;游荡,1,熱があって頭がふらふらする。,因为发烧头晕脑胀。
ぶらぶら,ぶらぶら,burabura,副词/自动词,闲逛;溜达;摇晃,1,近所をぶらぶら散歩する。,在附近闲逛散步。
ぺこぺこ,ぺこぺこ,pekopeko,副词/自动词,饿透了;点头哈腰,0,お腹がぺこぺこだ。,肚子饿瘪了。
ますます,ますます,masumasu,副词,更加;越发,1,雨がますます強くなった。,雨下得越来越大了。
めっきり,めっきり,mekkiri,副词,显著地;明显地,2,最近めっきり寒くなった。,最近明显变冷了。
もしかしたら,もしかしたら,moshikashitara,副词,也许;可能,4,もしかしたら彼は来ないかもしれない。,也许他不会来了。
物凄く,ものすごく,monosugoku,副词,极其;非常,3,物凄く美味しい料理。,非常好吃的料理。
ようやく,ようやく,youyaku,副词,好不容易;终于,0,ようやく仕事が終わった。,工作终于结束了。
よほど,よほど,yohodo,副词,相当;很;很想,0,よほど疲れていたのだろう。,应该是相当累了吧。
案外,あんがい,angai,副词/Na形容词,意外地;出乎意料,1,案外、テストは簡単だった。,考试出乎意料地简单。
意外,いがい,igai,Na形容词,意外;想不到,0,それは意外な結果だった。,那是意想不到的结果。
うっかり,うっかり,ukkari,副词/自动词,不留神;无意中,3,うっかり秘密を話してしまった。,不留神把秘密说漏了。
お互い,おたがい,otagai,名词/副词,互相;彼此,0,お互いに助け合いましょう。,让我们互相帮助。
がっかり,がっかり,gakkari,副词/自动词,失望;灰心,3,不合格でがっかりした。,因为没及格而感到失望。
勝手,かって,katte,Na形容词/名词,任意;随便;方便,0,勝手な行動は慎んでください。,请不要随意行动。
我慢,がまん,gaman,名词/他动词,忍耐;忍受,1,痛いのを我慢する。,忍住疼痛。
気味,ぎみ,gimi,接尾词,有点...;稍微...,0,今日は風邪気味だ。,今天有点感冒。
結局,けっきょく,kekkyoku,副词/名词,最后;结果,0,結局、彼は来なかった。,结果他没来。
後悔,こうかい,kookai,名词/他动词,后悔,1,後で後悔しても遅い。,事后后悔也晚了。
合計,ごうけい,gookee,名词/他动词,合计;总计,0,代金の合計を計算する。,计算金额总计。
交代,こうたい,kootai,名词/自动词,轮换;交替,0,運転を交代する。,轮流开车。
さっぱり,さっぱり,sappari,副词/自动词,清爽;完全(不),3,シャワーを浴びてさっぱりした。,洗完澡感觉清爽了。
質,しつ,shitsu,名词,质;质量,0,商品の質がいい。,商品的质量好。
実,じつ,jitsu,名词/副词,真实;其实,0,実は、お伝えしたいことがあります。,其实我有话想跟您说。
実際,じっさい,jissai,名词/副词,实际;事实上,0,実際に行ってみないとわからない。,不实际去看看是不会明白的。
自分,じぶん,jibun,名词,自己,0,自分のことは自分でやる。,自己的事情自己做。
自由,じゆう,jiyuu,名词/Na形容词,自由,2,自由な時間が増えた。,自由的时间增加了。
寿命,じゅみょう,jumyoo,名词,寿命,0,この機械は寿命が来た。,这台机器寿命到头了。
順,じゅん,jun,名词/接尾词,顺序,0,背の順に並ぶ。,按身高顺序排列。
順番,じゅんばん,junban,名词,轮番;顺序,0,順番を待つ。,等待轮到自己。
準備,じゅんび,junbi,名词/他动词,准备,1,旅行の準備をする。,做旅行准备。
所,ところ,tokoro,名词,地方;处;时候,0,いい所へ連れて行く。,带你去个好地方。
初め,はじめ,hajime,名词,开始;最初,0,初めは難しかった。,起初很难。
始まり,はじまり,hajimari,名词,开始;起源,0,物語の始まり。,故事的开篇。
場所,ばしょ,basho,名词,场所;位置,0,待ち合わせの場所を決める。,决定集合地点。
場合,ばあい,baai,名词,情况;场合,0,雨天の場合は中止です。,如下雨则中止。
反対,はんたい,hantai,名词/自动词,相反;反对,0,彼の意見に反対する。,反对他的意见。
一晩,ひとばん,hitoban,名词,一晚;一整夜,2,一晩中本を読んだ。,读了一整夜的书。
表面,ひょうめん,hyoomen,名词,表面;外表,3,表面をきれいに磨く。,把表面擦拭干净。
平等,びょうどう,byoodoo,名词/Na形容词,平等,0,男女平等の社会。,男女平等的社会。
評判,ひょうばん,hyooban,名词,评价;名声,0,あの店は評判がいい。,那家店评价很好。
広場,ひろば,hiroba,名词,广场,1,駅前の広場に集まる。,在站前广场集合。
風景,ふうけい,fuukee,名词,风景;景色,1,窓からの風景が素晴らしい。,窗外的风景极好。
無事,ぶじ,buji,名词/Na形容词,平安;安好,0,無事に帰国した。,平安回国了。
普通,ふつう,futsuu,名词/Na形容词/副词,普通;一般,0,普通の生活が一番だ。,普通的生活最好。
物理,ぶつり,butsuri,名词,物理,1,物理の試験を受ける。,参加物理考试。
文化,ぶんか,bunka,名词,文化,1,日本の文化を学ぶ。,学习日本文化。
文章,ぶんしょう,bunshoo,名词,文章,1,短い文章を書く。,写短文。
平均,へいきん,heekin,名词/他动词,平均,0,テストの平均点。,考试的平均分。
変化,へんか,henka,名词/自动词,变化,1,時代の変化に対応する。,应对时代的变化。
勉強,べんきょう,benkyoo,名词/他动词,学习;便宜,0,日本語を勉強する。,学习日语。
方法,ほうほう,hoohoo,名词,方法,0,解決する方法を探す。,寻找解决方法。
方向,ほうこう,hookoo,名词,方向,0,方向を間違える。,搞错方向。
放送,ほうそう,hoosoo,名词/他动词,广播;播放,0,ニュースを放送する。,播放新闻。
法律,ほうりつ,hooritsu,名词,法律,0,法律を守る。,遵守法律。
僕,ぼく,boku,代词,我(男性用),1,僕は学生です。,我是学生。
誇り,ほこり,hokori,名词,自豪;骄傲,0,仕事に誇りを持つ。,对工作感到自豪。
埃,ほこり,hokori,名词,灰尘;尘土,0,部屋が埃っぽい。,房间里灰扑扑的。
保証,ほしょう,hoshoo,名词/他动词,保证;担保,0,品質を保証する。,保证质量。
仏像,ぶつぞう,butsuzoo,名词,佛像,0,寺で古い仏像を拝む。,在寺庙里拜古佛像。
布団,ふとん,futon,名词,被褥;垫子,0,布団を干す。,晒被子。
船,ふね,fune,名词,船,1,船で海を渡る。,乘船渡海。
不満,ふまん,fuman,名词/Na形容词,不满,0,給料に不満がある。,对工资不满。
プラス,プラス,purasu,名词/他动词,加;正号;利益,1,プラスの考え方をする。,抱有积极的思维方式。
不利,ふり,furi,名词/Na形容词,不利,1,試合が不利に進む。,比赛进展不利。
振り,ふり,furi,名词/接尾词,样子;假装,0,知らない振りを中る。,装作不知道的样子。
振替,ふりかえ,furikae,名词/他动词,调换;转账,0,振替休日を利用する。,利用调休。
プリント,プリント,purinto,名词/他动词,印刷;讲义;打印,0,先生がプリントを配る。,老师分发讲义。
ブレーキ,ブレーキ,bureeki,名词,刹车,2,急ブレーキをかける。,踩急刹车。
プロ,プロ,puro,名词,专业;职业,1,プロの選手を目指す。,以职业选手为目标。
風呂,ふろ,furo,名词,澡盆;浴室,0,お風呂に入る。,洗澡。
分,ぶん,bun,名词/接尾词,部分;身份;成分,1,自分の分のケーキを食べる。,吃掉属于自己的那份蛋糕。
文,ぶん,bun,名词,文章;句子,1,短い文を作る。,造短句。
文学,ぶんがく,bungaku,名词,文学,1,日本文学を専攻する。,专业是日本文学。
文芸,ぶんげい,bungei,名词,文艺,0,文芸雑誌を読む。,读文艺杂志。
文献,ぶんけん,bunken,名词,文献,0,図書館で文献を調べる。,在图书馆查阅文献。
文庫,ぶんこ,bunko,名词,文库;小册子,0,文庫本を買う。,买文库本（袖珍本）。
文章,ぶんしょう,bunshoo,名词,文章,1,文章を丁寧に書く。,认真写文章。
分野,ぶんや,bunya,名词,领域;范围,1,新しい分野に挑戦する。,挑战新领域。
平均,へいきん,heekin,名词/他动词,平均,0,テストの平均点。,考试的平均分。
平方,へいほう,heihoo,名词,平方,0,十平方メートルの広さ。,十平方米的面积。
平和,へいわ,heiwa,名词/Na形容词,和平,0,世界の平和を願う。,祝愿世界和平。
別,べつ,betsu,名词/Na形容词,区别;另外,0,別の方法を試す。,尝试另一种方法。
変化,へんか,henka,名词/自动词,变化,1,時代の変化を感じる。,感受时代的变化。
勉強,べんきょう,benkyoo,名词/他动词,学习;便宜,0,勉強不足を痛感する。,深感学习不足。
便利,べんり,benri,Na形容词,方便,1,交通が便利な所。,交通便利的地方。
貿易,ぼうえき,booeki,名词/自动词,贸易,0,貿易会社に勤める。,在贸易公司工作。
防衛,ぼうえい,booei,名词/他动词,防卫;防御,0,国を守る防衛力。,保卫国家的防御力量。
放送,ほうそう,hoosoo,名词/他动词,广播;播放,0,ニュース番組を放送する。,播放新闻节目。
方法,ほうほう,hoohoo,名词,方法,0,いい方法が見つかる。,找到了好方法。
方面,ほうめん,hoomen,名词/接尾词,方面;方向,3,東京方面の電車。,东京方向的电车。
訪問,ほうもん,hoomon,名词/他动词,访问;拜访,0,取引先を訪問する。,拜访客户。
法律,ほうりつ,hooritsu,名词,法律,0,法律を遵守する。,遵守法律。
僕,ぼく,boku,代词,我(男性),1,僕は学生です。,我是学生。
募集,ぼしゅう,boshuu,名词/他动词,募集;招募,0,新入社員を募集する。,招募新员工。
保証,ほしょう,hoshoo,名词/他动词,保证;担保,0,品質を保証する。,保证质量。
保存,ほぞん,hozon,名词/他动词,保存;储藏,0,冷凍して保存する。,冷冻保存。
誇り,ほこり,hokori,名词,自豪;骄傲,0,仕事に誇りを持つ。,对工作感到自豪。
埃,ほこり,hokori,名词,灰尘;尘土,0,埃を払う。,掸掉灰尘。
星,ほし,hoshi,名词,星星;干得好,0,星が綺麗に見える。,星星看起来很美。
欲しい,ほしい,hoshii,I形容词,想要,2,新しい靴が欲しい。,想要新鞋。
補充,ほじゅう,hojuu,名词/他动词,补充,0,欠員を補充する。,补充空缺。
保証,ほしょう,hoshoo,名词/他动词,保证;担保,0,契約内容を保証する。,保证合同内容。
歩行,ほこう,hokoo,名词/自动词,步行,0,歩行者天国。,步行街（行人天堂）。
仏,ほとけ,hotoke,名词,佛;死者;慈悲的人,0,仏の顔も三度まで。,事不过三（佛颜亦不过三）。
骨,ほね,hone,名词,骨头;劳神,0,骨を折る。,骨折;费劲。
微笑み,ほほえみ,hohoemi,名词,微笑,0,微笑みを浮かべる。,露出微笑。
褒める,ほめる,homeru,动词(他),表扬;赞扬,2,先生に褒められた。,被老师表扬了。
翻訳,ほんやく,honyaku,名词/他动词,翻译;笔译,0,日本の小説を翻訳する。,翻译日本小说。
参る,まいる,mairu,动词(自),来;去(逊让语);吃不消,1,お参りに行く。,去参拜。
任せる,まかせる,makaseru,动词(他),委托;任凭,3,仕事は彼に任せる。,把工作托付给他。
間に合う,まにあう,maniau,动词(自),赶得上;足够,3,終電に間に合う。,赶得上末班车。
守る,まもる,mamoru,动词(他),守护;遵守,2,約束を必ず守る。,一定遵守约定。
迷う,まよう,mayou,动词(自),迷路;困惑;犹豫,2,道に迷ってしまった。,迷路了。
回る,まわる,mawaru,动词(自),旋转;转弯;巡回,0,地球は太陽の周りを回る。,地球绕着太阳转。
回す,まわす,mawasu,动词(他),转动;传送;轮换,0,ハンドルを右に回す。,把方向盘向右转。
満足,まんぞく,manzoku,名词/自动词/Na形容词,满意;满足,1,今の生活に満足している。,对现在的生活很满意。
見上げる,みあげる,miageru,动词(他),仰望;钦佩,0,夜空を見上げる。,仰望夜空。
見下ろす,みおろす,miorosu,动词(他),俯瞰;看不起,0,山頂から街を見下ろす。,从山顶俯瞰街道。
満ちる,みちる,michiru,动词(自),充满;期满,2,自信に満ちた表情。,充满自信的表情。
認める,みとめる,mitomeru,动词(他),承认;认可;看见,0,自分の非を認める。,承认自己的错误。
見舞う,みまう,mimau,动词(他),探望;遭受,0,入院中の友人をみまう。,探望住院的朋友。
向かう,むかう,mukau,动词(自),面向;前往,0,目的地に向かって走る。,向着目的地跑。
向ける,むける,mukeru,动词(他),朝向;指向,0,カメラをこちらに向ける。,把相机对着这边。
無視,むし,mushi,名词/他动词,忽视;无视,1,信号を無視してはいけない。,不能无视红绿灯。
結ぶ,むすぶ,musubu,动词(他),结;系;连接;缔结,0,靴の紐を結ぶ。,系鞋带。
目立つ,めだつ,medatsu,动词(自),显眼;引人注目,2,彼は背が高いので目立つ。,他因为个子高所以很显眼。
申し込む,もうしこむ,moushikomu,动词(他),申请;提议,4,ボランティアに申し込む。,申请做志愿者。
戻る,もどる,modoru,动词(自),返回;倒退,2,すぐに席に戻る。,立刻回到座位。
戻す,もどす,modosu,动词(他),退回;还原;呕吐,2,本を元の場所に戻す。,把书放回原处。
基づく,もとづく,motoduku,动词(自),基于;根据,3,事実に基づいて判断する。,根据事实进行判断。
求める,もとめる,motomeru,动词(他),寻求;要求;购买,3,平和を求めて戦う。,为了寻求和平而战。
物音,ものおと,monooto,名词,响声;声音,0,隣の部屋で物音がした。,隔壁房间有响声。
文句,もんく,monku,名词,怨言;词句;抱怨,0,文句を言うのをやめる。,停止抱怨。
焼く,やく,yaku,动词(他),烤;烧;冲洗(照片),0,ステーキを焼く。,煎牛排。
焼ける,やける,yakeru,动词(自),烧掉;烤熟;红通通,0,パンが美味しそうに焼けた。,面包烤得看起来很好吃。
役立つ,やくだつ,yakudatsu,动词(自),有用;有益,3,この本は勉強に役立つ。,这本书对学习有帮助。
雇う,やとう,yatou,动词(他),雇佣;租用,2,新しい秘書を雇う。,雇佣新秘书。
辞める,やめる,yameru,动词(他),辞去;停止,0,今の仕事を辞める。,辞去现在的工作。
止む,やむ,yamu,动词(自),停;息,0,ようやく雨が止んだ。,雨终于停了。
許す,ゆるす,yurusu,动词(他),允许;宽恕,2,過ちを許す。,宽恕错误。
揺れる,ゆれる,yureru,动词(自),摇晃;动摇,0,地震で家が大きく揺れた。,地震使房子剧烈摇晃。
汚れる,よごれる,yogoreru,动词(自),脏;弄脏,0,服が泥で汚れた。,衣服被泥弄脏了。
汚す,よごす,yogosu,动词(他),弄脏;玷污,2,部屋を汚さないで。,别弄脏房间。
寄る,よる,yoru,动词(自),靠近;顺路去,0,帰りに本屋に寄る。,回家路上顺便去书店。
寄せる,よせる,yoseru,动词(他),靠近;招集;寄送,0,車を端に寄せる。,把车靠向路边。
喜ぶ,よろこぶ,yorokobu,动词(自/他),喜悦;高兴,3,合格を家族が喜ぶ。,家人为及格感到高兴。
略す,りゃくす,ryakusu,动词(他),省略;简写,1,名前を略して書く。,简写名字。
料金,りょうきん,ryookin,名词,费用;过路费,1,サービス料金が含まれている。,包含了服务费。
流行,りゅうこう,ryuukoo,名词/自动词,流行;时髦,0,インフルエンザが流行している。,流感正在流行。
利用,りよう,riyoo,名词/他动词,利用;使用,0,公共施設を利用する。,利用公共设施。
理解,りかい,rikai,名词/他动词,理解;明了,1,相手の立場を理解する。,理解对方的立场。
理想,りそう,risoo,名词,理想,0,理想の相手と出会う。,遇到了理想的对象。
留守,るす,rusu,名词,不在家;看家,1,あいにく主人は留守です。,不凑巧我先生不在家。
礼儀,れいぎ,reigi,名词,礼仪;礼貌,0,礼儀正しい若者。,礼貌周到的年轻人。
冷房,れいぼう,reiboo,名词/他动词,空调(冷气),0,冷房を強くする。,加强冷气。
冷静,れいせい,reisei,名词/Na形容词,冷静,0,冷静な判断を下す。,做出冷静的判断。
列,れつ,retsu,名词,列;队,1,長い列に並ぶ。,排长队。
練習,れんしゅう,renshuu,名词/他动词,练习,0,ピアノを毎日練習する。,每天练习钢琴。
沸く,わく,waku,动词(自),烧开;沸腾;激动,0,お風呂が沸いた。,洗澡水烧好了。
沸かす,わかす,wakasu,动词(他),烧开;使沸腾,0,お湯を沸かす。,烧开水。
分かる,わかる,wakaru,动词(自),明白;了解,2,理由が分からない。,不明白理由。
分かれる,わかれる,wakateru,动词(自),分开;分歧,3,道が二つに分かれている。,路分成了两条。
分ける,わける,wakeru,动词(他),划分;分开,2,グループに分ける。,分组。
別れる,わかれる,wakateru,动词(自),离别;分手,3,駅で友人と別れる。,在车站与朋友告别。
若まる,わかまる,wakamaru,动词(自),变年轻,3,気持ちが若まる。,心情变年轻。
若める,わかめる,wakameru,动词(他),使年轻,3,服装が人を若める。,服装使人显得年轻。
沸き上がる,わきあがる,wakiagaru,动词(自),涌现;沸腾;欢腾,4,歓声が沸き上がる。,欢呼声四起。
渡る,わたる,wataru,动词(自),渡;过;经过,0,横断歩道を渡る。,过人行道。
渡す,わたす,watasu,动词(他),交给;递给;渡(河),0,手紙を渡す。,递交信件。
笑う,わらう,warau,动词(自/他),笑;嘲笑,0,大声で笑う。,大声笑。
割れる,われる,wareru,动词(自),破碎;裂开,0,コップが割れた。,杯子碎了。
割る,わる,waru,动词(他),打碎;切开;除以,0,卵を割る。,打鸡蛋。
我々,われわれ,wareware,代词,我们,0,我々のチームが勝った。,我们的队伍赢了。
湾,わん,wan,名词,海湾,1,東京湾を船で行く。,乘船经过东京湾。
わずか,わずか,wazuka,副词/Na形容词,仅仅;稍微,1,わずかな時間も惜しむ。,珍惜哪怕一点点时间。
和,わ,wa,名词,和;总和;和平,1,和を重んじる。,重视和谐。
罠,わな,wana,名词,陷阱;圈套,1,罠にかかる。,落入陷阱。
詫びる,わびる,wabiru,动词(他),道歉;赔礼,2,不手際を詫びる。,为失误道歉。
枠,わく,waku,名词,框架;范围,2,予算の枠を超える。,超出预算范围。
惑星,わくせい,wakusei,名词,行星,0,太陽系の惑星。,太阳系的行星。
ワクチン,ワクチン,wakuchin,名词,疫苗,2,ワクチンを接種する。,接种疫苗。
わざわざ,わざわざ,wazawaza,副词,特意;专门,2,わざわざお越しいただき恐縮です。,感谢您特意过来，实在汗颜。
わずらわしい,わずらわしい,wazurawashii,I形容词,繁琐的;麻烦的,5,わずらわしい手続き。,繁琐的手续。
綿,わた,wata,名词,棉花;棉织品,0,布団に綿を入れる。,在被子里装棉花。
話題,わだい,wadai,名词,话题,0,話題が豊富だ。,话题丰富。
和服,わふく,wafuku,名词,和服,0,和服を着る。,穿和服。
和食,わしょく,washoku,名词,日餐;和食,0,健康のために和食を食べる。,为了健康吃日食。
脇,わき,waki,名词,腋下;旁边;侧面,0,脇に抱える。,夹在腋下。
和英,わえい,waei,名词,和英(日译英),0,和英辞典を使う。,使用日英辞典。
割,わり,wari,名词/接尾词,成;比例,2,一割引き。,打九折。
割合,わりあい,wariai,名词/副词,比例;比较地,0,割合に易しい問題。,比较容易的问题。
割り込む,わりこむ,warikomu,动词(自),挤进;插嘴;插队,3,列に割り込む。,插队。
割り算,わりざん,warizan,名词,除法,2,割り算の計算をする。,做除法计算。
割引,わりびき,waribiki,名词/他动词,折扣,0,学生割引を利用する。,利用学生折扣。
悪口,わるぐち,waruguchi,名词,坏话;谩骂,2,人の悪口を言わない。,不讲别人的坏话。
我慢強い,がまんづよい,gamanduyoi,I形容词,忍耐力强的,5,彼は我慢強い性格だ。,他性格很有韧性。
粘り強い,ねばりづよい,nebariduyoi,I形容词,坚韧不拔的,5,粘り強く交渉する。,进行坚韧不拔的交涉。
飽きっぽい,あきっぽい,akippoi,I形容词,没耐性的;易厌倦的,4,私は飽きっぽい性格だ。,我是个没耐心的人。
安っぽい,やすっぽい,yasuppoi,I形容词,看起来廉价的,4,安っぽい服。,看起来廉价的衣服。
荒っぽい,あらっぽい,arappoi,I形容词,粗鲁的;粗暴的,4,言葉遣いが荒っぽい。,说话粗鲁。
大人っぽい,おとなっぽい,otonappoi,I形容词,成熟的;像大人的,4,彼女は大人っぽいですね。,她长得很成熟呢。
子供っぽい,こどもっぽい,kodomoppoi,I形容词,孩子气的,4,子供っぽい行動はやめて。,别做孩子气的行为了。
湿っぽい,しめっぽい,shimeppoi,I形容词,潮湿的;阴郁的,4,空気が湿っぽい。,空气很潮湿。
理屈っぽい,りくつっぽい,rikutsuppoi,I形容词,爱讲理的;好辩的,5,彼は理屈っぽい人だ。,他是个爱钻牛角尖的人。
忘れっぽい,わすれっぽい,wasureppoi,I形容词,健忘的,4,最近忘れっぽくなった。,最近变得健忘了。
熱っぽい,ねつっぽい,netsuppoi,I形容词,发烧的;热烈的,4,体が少し熱っぽい。,身体稍微有点发烧的感觉。
怒りっぽい,おこりっぽい,okorippoi,I形容词,易怒的;爱发火的,5,父は怒りっぽい。,父亲爱发火。
愚痴っぽい,ぐちっぽい,guchippoi,I形容词,爱发牢骚的,4,彼女は愚痴っぽい。,她爱发牢骚。
～家,～か,ka,接尾词,...家;从事某行业的人,0,政治家や芸術家が集まる。,政治家和艺术家聚集。
～会,～かい,kai,接尾词,...会;会议;集会,0,同窓会に参加する。,参加同窗会。
～界,～かい,kai,接尾词,...界;圈子,0,芸能界のニュース。,娱乐圈（艺能界）的新闻。
～学,～がく,gaku,接尾词,...学(学科),0,経済学を専攻する。,专攻经济学。
～観,～かん,kan,接尾词,...观;看法,0,人生観が変わる。,人生观发生了变化。
～器,～き,ki,接尾词,...器;器材,0,洗面器で顔を洗う。,用脸盆洗脸。
～機,～き,ki,接尾词,...机(机械),0,コピー機を使う。,使用复印机。
～金,～きん,kin,接尾词,...金;费用,0,入学金を支払う。,缴纳入学金。
～区,～く,ku,接尾词,...区(行政区),0,新宿区に住んでいる。,住在新宿区。
～計,～けい,kei,接尾词,...计;总计,0,合計を出す。,算出总计。
～券,～けん,ken,接尾词,...券;票,0,乗車券を購入する。,购买乘车券。
～後,～ご,go,接尾词,...后;以后,0,放課後に図書室へ行く。,放学后去图书室。
～語,～ご,go,接尾词,...语(语言),0,外国語をマスターする。,掌握外语。
～差,～さ,sa,接尾词,...差;差异,0,温度差が激しい。,温差很大。
～産,～さん,san,接尾词,...产;出产,0,北海道産の牛乳。,北海道产的牛奶。
～氏,～し,shi,接尾词,...氏;先生,0,田中氏の意見を聞く。,听取田中先生的意见。
～式,～しき,shiki,接尾词,...式;仪式,0,卒業式に出席する。,出席毕业仪式。
～室,～しつ,shitsu,接尾词,...室,0,会議室を予約する。,预订会议室。
～者,～しゃ,sha,接尾词,...者;人,0,若者が集まる街。,年轻人聚集的街道。
～車,～しゃ,sha,接尾词,...车;车辆,0,自転車で通学する。,骑自行车上学。
～手,～しゅ,shu,接尾词,...手;从事某事的人,0,運転手さんに道を尋ねる。,向司机询问路线。
～主義,～しゅぎ,shugi,接尾词,...主义,0,民主主義の国。,民主主义国家。
～所,～じょ/しょ,jo/sho,接尾词,...所;场所,0,事務所で手続きをする。,在事务所办理手续。
～色,～しょく,shoku,接尾词,...色;色彩,0,地方色が豊かな祭り。,地方色彩丰富的祭典。
～信,～しん,shin,接尾词,...信;通讯,0,返信を待つ。,等待回信。
～人,～じん,jin,接尾词,...人(国籍/身份),0,彼は日本人です。,他是日本人。
～図,～ず,zu,接尾词,...图;图表,0,案内図を確認する。,确认导览图。
～性,～せい,sei,接尾词,...性;性质,0,安全性を確認する。,确认安全性。
～製,～せい,sei,接尾词,...制;产地,0,日本製のアニメ。,日本制造的动画。
～税,～ぜい,zei,接尾词,...税,0,消費税が上がる。,消费税上涨。
～席,～せき,seki,接尾词,...席;座位,0,指定席を予約する。,预订对号入座席。
～線,～せん,sen,接尾词,...线;线路,0,山手線に乗る。,搭乘山手线。
～代,～だい,dai,接尾词,...费;代,0,電気代を節約する。,节约电费。
～台,～だい,dai,接尾词,...台(量词/高度),0,二台の車を所有する。,拥有两台车。
～団,～だん,dan,接尾词,...团;团体,0,消防団の活動。,消防团的活动。
～値,～ち,chi,接尾词,...值,0,平均値を計算する。,计算平均值。
